case,,size,tst_insert,tst_search,tst_ram,bst_insert,bst_search,bst_ram
best,0,500,0.0007943042000988498,0.0005950418002612423,0.0,0.00029270520026329904,0.00023581999957968946,0.0
best,1,1000,0.0017975641992961755,0.0013427347999822813,0.036044800000001945,0.005201541799760889,0.0005137420001119608,0.0
best,2,1500,0.00285473079966323,0.00217290620021231,0.036044800000001945,0.0010300965997885215,0.0008110915998258861,0.0
best,3,2000,0.003432122999583953,0.00269320820007124,0.0,0.0013964699995995034,0.0011223352008528308,0.0
best,4,2500,0.004480726600013441,0.0034908853998786072,0.036044800000001945,0.0019021195999812334,0.0014999139995779843,0.0
best,5,3000,0.010159782000118866,0.00422358220021124,0.0,0.002328892599689425,0.0018067045999487163,0.0
best,6,3500,0.0061350520005362345,0.004896104000363266,0.036044800000001945,0.002855235200331663,0.0022418044001824454,0.0
best,7,4000,0.013450640199516783,0.006493497200062847,0.036044800000001945,0.0033141210002213483,0.002618247798818629,0.0
best,8,4500,0.008517918000143255,0.0065107120000902794,0.036044799999996255,0.008456205399852479,0.0031996421992516845,0.0
best,9,5000,0.009388747199409408,0.00760357160033891,0.036044800000001945,0.004282649200467859,0.0033670751996396574,0.0
worst,0,500,0.020452109199686673,0.020638995800254634,0.0,0.013273932599986438,0.010782930599452812,0.0
worst,1,1000,0.09311524940021627,0.09105391720004263,0.036044800000001945,0.05963618660025531,0.04726585739990696,0.0
worst,2,1500,0.2009888267999486,0.18973503400011396,0.07045120000000224,0.13087961840028584,0.10959125540030072,0.0
worst,3,2000,0.35555973740010816,0.3575841128003958,0.1441792000000021,0.2528775883998605,0.20661610639981517,0.07127040000000306
worst,4,2500,0.5654015266001806,0.5286895057997754,0.15319039999999404,0.4313262460003898,0.3501719701998809,0.06963200000000143
worst,5,3000,0.8508184847996745,0.8243094473997189,0.16220160000000305,0.6337238669995713,0.5363807471996551,0.06307840000000056
worst,6,3500,1.1201382910003304,1.0894901741998182,0.1835008000000073,0.8844751460001135,0.7251709283995297,0.10567680000000337
worst,7,4000,1.4646896379999816,1.421603667599993,0.1933312000000001,1.3107791565998923,1.0765923586004646,0.059801600000002966
worst,8,4500,2.020738576800068,1.9997008970003662,0.3547136000000023,1.7073239399993327,1.3329309058000944,0.0761855999999966
worst,9,5000,2.478899891000401,2.5282819883996126,0.08192000000000235,2.320093170000109,1.762724299999536,0.21954560000000356
average,0,500,0.0014137287998892134,0.0008699080000951654,0.0,0.0004344869994383771,0.00036476400018727875,0.0
average,1,1000,0.012336659799984773,0.0027658614002575633,0.25231359999999653,0.0009402656000020215,0.0007524217995523941,0.0
average,2,1500,0.010479787999793188,0.0025525353998091306,0.0,0.001417076599682332,0.0011306108001008397,0.0
average,3,2000,0.02285261279976112,0.005300375200022245,0.44072960000000305,0.0018798374003381468,0.0015532133998931385,0.0
average,4,2500,0.014304472000003444,0.004551643800004968,0.0,0.0024795463996269973,0.0021504259999346686,0.0
average,5,3000,0.01828027080009633,0.006608686400068109,0.18595839999999839,0.008729637200303841,0.002911895599754644,0.0
average,6,3500,0.015440228199440752,0.006454246199791669,0.0,0.003909354599454673,0.003170744200178888,0.0
average,7,4000,0.03213582899988978,0.009837029800473828,0.4907007999999962,0.004383954999866546,0.0035878845999832267,0.0
average,8,4500,0.044527611399098534,0.011551186799624701,0.8437760000000025,0.0055972035992454035,0.004697992399815121,0.0
average,9,5000,0.06427503039994917,0.015348509800242027,1.5245311999999955,0.00613182940032857,0.005013113000313751,0.0
