case,,size,tst_insert,tst_search,tst_ram,bst_insert,bst_search,bst_ram
best,0,10000,0.03338357720022032,0.01625740460040106,2.0332544000000015,,,
best,1,50000,0.19705467700005103,0.09096423919982044,9.8041856,,,
best,2,100000,0.4361393532002694,0.18992693259970111,18.995609599999998,,,
best,3,250000,1.3242376289996174,0.5103672053992341,47.398912,,,
best,4,500000,2.820956885200212,1.0946132938002848,94.273536,,,
worst,0,10000,0.047002521799731765,0.034768796800199196,1.513881599999999,,,
worst,1,50000,0.3146281440000166,0.20449089140020077,9.774694400000005,,,
worst,2,100000,0.6872863174001396,0.4284621396000148,18.8383232,,,
worst,3,250000,1.9937030315999436,1.1461418867998874,47.38990080000001,,,
worst,4,500000,4.221522322000601,2.4415704338003708,93.97616639999997,,,
average,0,10000,0.03241955839985167,0.019634997799585108,1.2976128000000018,0.010643783599880408,0.009309066799687571,0.0
average,1,50000,0.22688141059952613,0.11542443099970115,9.740287999999998,0.07165388879948295,0.06060928539955057,0.5046271999999987
average,2,100000,0.5239786238002125,0.24715747959962756,18.8653568,0.16172821180043684,0.13362787099977141,1.024000000000001
average,3,250000,1.5978330702004313,0.686888331800219,47.13021439999999,0.6174984007997409,0.5113164917995163,4.037017600000001
average,4,500000,3.5431132705998607,1.4957470408000517,93.5870464,1.5052865652000036,1.2481257722003647,8.161689599999999
